"name","email","location","address1","address2","note","phone","city","postal","call_ahead","clinic_date","clinic_opentime","clinic_closetime"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-05","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-06","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-07","14:00","18:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-12","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-13","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-14","14:00","18:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-19","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-20","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-21","14:00","18:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-26","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-27","12:00","16:00"
"Smith Drugs & Apothecary Ltd.","","","794 Colborne St.E.","","Please make an appointment (in person or phone 519-752-2892)","519 752-2892","Brantford","N3S3S4","1","2013-11-28","14:00","18:00"
"UNIVERSITY PHARMACY","","","160 COLBORNE STREET","","No appointments necessary","519 720-9910","Brantford","N3T2G6","0","2013-10-19","10:00","14:00"
"UNIVERSITY PHARMACY","","","160 COLBORNE STREET","","No appointments necessary","519 720-9910","Brantford","N3T2G6","0","2013-10-19","10:00","14:00"
"UNIVERSITY PHARMACY","","","160 COLBORNE STREET","","No appointments necessary","519 720-9910","Brantford","N3T2G6","0","2013-11-01","10:00","16:00"
"SOBEYS PHARMACY SHELLARD LANE","","","310 COLBORNE STREET WEST","","Please  walking-in  no appointment needed ( Please call to check vaccine availability)","519 758-8126","Brantford","N3T1M2","0","2013-10-26","11:00","16:00"
"SOBEYS PHARMACY SHELLARD LANE","","","310 COLBORNE STREET WEST","","Please  walking-in  no appointment needed ( Please call to check vaccine availability)","519 758-8126","Brantford","N3T1M2","0","2013-11-10","12:00","17:00"
"SOBEYS PHARMACY SHELLARD LANE","","","310 COLBORNE STREET WEST","","Please  walking-in  no appointment needed ( Please call to check vaccine availability)","519 758-8126","Brantford","N3T1M2","0","2013-11-16","10:00","17:00"
"SOBEYS PHARMACY","","","307 GRAND RIVER STREET NORTH","","There will a flu Clinic on Wednesday 23rd of October  
Flu shots will be given every Wednesday and Friday evening. Patients can walk in, but there will be a wait period depending on how busy we are. Call 519-442-1044 ","519 442-1044","Paris","N3L2N9","0","1969-12-31","13:00","17:00"
"SOBEYS PHARMACY","","","307 GRAND RIVER STREET NORTH","","There will a flu Clinic on Wednesday 23rd of October  
Flu shots will be given every Wednesday and Friday evening. Patients can walk in, but there will be a wait period depending on how busy we are. Call 519-442-1044 ","519 442-1044","Paris","N3L2N9","0","2013-10-23","13:00","17:00"
"Sam Rouman Pharmacy Inc. ","asdm1158@shoppersdrugmart.ca","","185 King George Road ","Unit/Suite 1","","519 753-8411","Brantford ","N3R7R9","1","2013-11-12","10:00","17:00"
"Sam Rouman Pharmacy Inc. ","asdm1158@shoppersdrugmart.ca","","185 King George Road ","Unit/Suite 1","","519 753-8411","Brantford ","N3R7R9","1","2013-11-14","12:00","18:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-10-17","10:00","15:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-10-24","11:00","17:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-10-24","11:00","16:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-09","10:00","17:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-10","12:00","16:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-11","10:00","18:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-13","16:00","20:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-15","10:00","18:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-19","10:00","18:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-20","10:00","18:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-21","09:00","14:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-23","10:00","17:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-24","12:00","17:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-28","15:00","20:00"
"FreshCo Pharmacy","","","50 Market Street South","","No appointment necessary","519 759-6997","Brantford","N3S2E3","0","2013-11-29","10:00","20:00"
"Metro Pharmacy","","","371 St. Paul Avenue East","","","519 758-0300","Brantford","N3R4N5","1","2013-11-07","10:00","16:00"
"Metro Pharmacy","","","371 St. Paul Avenue East","","","519 758-0300","Brantford","N3R4N5","1","2013-11-08","10:00","16:00"
