Year,Month,CITY,Total
1927,Jun,TORONTO,7
1928,Jun,TORONTO,6
1929,Aug,TORONTO,7
1930,Aug,TORONTO,6
1930,Jun,TORONTO,12
1930,Nov,TORONTO,6
1930,Sep,TORONTO,7
1931,Apr,TORONTO,6
1931,May,TORONTO,6
1931,Oct,TORONTO,8
1931,Sep,TORONTO,11
1932,Dec,TORONTO,7
1932,Jun,TORONTO,6
1932,Sep,TORONTO,6
1933,Feb,TORONTO,6
1933,Oct,TORONTO,7
1933,Sep,TORONTO,6
1934,Dec,TORONTO,7
1934,Jul,TORONTO,7
1934,Oct,TORONTO,7
1934,Sep,TORONTO,7
1935,Jun,TORONTO,8
1935,Oct,TORONTO,8
1936,Jan,TORONTO,6
1936,Jul,TORONTO,7
1936,Jun,TORONTO,7
1936,Oct,TORONTO,6
1937,Aug,TORONTO,6
1937,Jul,TORONTO,9
1937,Jun,TORONTO,10
1938,Apr,TORONTO,6
1938,Jul,TORONTO,9
1938,Jun,TORONTO,6
1938,Oct,TORONTO,6
1938,Sep,TORONTO,6
1939,Apr,TORONTO,8
1939,Aug,TORONTO,6
1939,Dec,TORONTO,7
1939,Jul,TORONTO,6
1939,Jun,TORONTO,9
1939,Nov,TORONTO,7
1939,Oct,TORONTO,11
1939,Sep,HAMILTON,6
1939,Sep,TORONTO,8
1940,Aug,TORONTO,15
1940,Dec,TORONTO,7
1940,Jul,TORONTO,7
1940,Jun,TORONTO,23
1940,Nov,TORONTO,13
1940,Oct,TORONTO,6
1940,Sep,TORONTO,8
1941,Aug,TORONTO,10
1941,Dec,TORONTO,12
1941,Jun,TORONTO,18
1941,Mar,TORONTO,7
1941,May,TORONTO,8
1941,Nov,TORONTO,17
1941,Oct,TORONTO,9
1941,Sep,TORONTO,12
1942,Apr,TORONTO,7
1942,Aug,TORONTO,18
1942,Dec,TORONTO,12
1942,Jan,TORONTO,11
1942,Jul,TORONTO,20
1942,Jun,TORONTO,18
1942,Jun,WINDSOR,6
1942,Mar,TORONTO,9
1942,May,OTTAWA,6
1942,May,TORONTO,9
1942,Nov,TORONTO,12
1942,Oct,TORONTO,13
1942,Sep,TORONTO,12
